ingredient_id, recipe_id, amount
1,1,1.25
4,1,0.5
3,1,3
2,1,1.5
6,1,10
6,6,50
2,6,2
9,6,2
1,6,3
81,6,2
12,6,2
3,6,1
2,7,3
17,7,1
29,7,1
32,8,500
33,8,4
3,8,1.5
2,8,1
27,8,1
26,8,1
4,8,1
9,8,0.5
37,8,600
6,8,1
38,8,1
6,2,250
30,2,2
2,2,4
9,2,4.5
4,2,0.5
14,2,2
1,2,3
15,2,0.5
16,3,250
27,3,1
12,3,1
25,3,3
24,3,0.5
3,3,1
22,3,1
23,3,1
26,3,1
4,3,1
42,9,2.5
43,9,140
44,9,4
3,9,1
41,9,1.5
45,15,2
46,15,2
32,15,250
17,15,1
47,15,1
48,15,1
49,15,1
50,15,200
24,15,2
51,15,1
52,4,250
27,4,1
47,4,2
53,4,1
54,4,1
55,4,1
56,4,1
57,4,0.5
4,4,1
58,4,0.5
59,4,20
60,5,600
61,5,1
4,5,0.5
26,5,1
62,5,1
63,16,1.5
64,16,1
65,16,1
66,16,125
27,16,1
17,16,1
4,16,0.75
26,16,0.5
22,16,1
2,16,1
67,17,2
68,17,0.5
69,17,1.5
70,17,1.5
39,17,1
71,17,1
4,17,2
26,17,2
72,17,125
73,17,32
5,10,400
7,10,1
8,10,2
4,10,1
6,10,125
1,10,2
10,10,1
9,10,1.5
2,11,3
9,11,3
11,11,3
12,11,1
1,11,3
15,11,1
18,11,0.5
8,11,2
4,11,0.5
19,11,300
20,11,3
21,11,1
28,12,250
31,12,0.5
7,12,1
8,12,2
10,12,1.5
1,12,1.5
36,12,0.5
6,12,65
34,13,250
9,13,0.5
31,13,1
6,13,175
9,13,1
4,13,1
10,13,1
1,13,1.5
15,13,1
35,13,0.5
6,14,50
1,14,3
32,14,250
40,14,1
39,14,2
41,14,2.5
32,18,200
4,18,0.5
26,18,1
29,18,1
76,18,2
45,18,1
68,18,1
38,18,3
77,18,1
4,18,1
74,19,300
26,19,1
6,19,25
75,19,2
4,19,1
63,20,2
32,20,250
61,20,0.5
25,20,1
4,20,1
26,20,1
50,20,190
78,20,1
79,20,200
80,20,2