name,text,type,hovertext
Pancakes,"1: Mix the flour and salt in a bowl. Whisk in half the milk and beat until smooth. Whisk in the rest of the milk and the eggs. 2: Fry thin pancakes in a little butter- for each pancake- in a frying pan or pancake pan.",Dessert,Cooked batter made from milk - flour and eggs. Usually consumed together with a sweet or savory topping.
Brownie,"1: Set the oven to 175°. Place baking paper in a square baking tin- about 20x30 cm. 2: Melt the butter and stir in the cocoa. 3: Mix the eggs and sugar together in a bowl. Stir in the cocoa mixture- salt- vanilla powder and the flour mixed with baking powder. 4: Spread the mixture in the tin. Bake in the middle of the oven for 20 to 25 minutes. 5: Leave to cool and cut the cake into squares. Store in the fridge.",Dessert,Easy recipe for some good-tasting brownies. They are typically eaten by hand. often accompanied by milk - whipped cream or sprinkled powdered sugar.
Sausage stroganoff,"1: Cut the sausage into sticks. Peel and chop the onion. 2: Fry the sausage and onion in the oil in a frying pan for about 5 minutes. Add the tomato paste and fry for a minute. 3: Stir in the cream- milk- soy sauce and dijon mustard. Simmer for about 5 minutes. 4: Season to taste with pepper and salt.",Meat,"The Swedes loves sausage stroganoff. The most commonly used sausage is ""varmkorv"" and ""falukorv"" which has its roots in the Swedish 16th century."
Falafel,"1: Soak the chickpeas in about 1 litre of water for at least 12 hours. Drain the chickpeas and rinse. 2: Peel and chop the onion and garlic. Core the chilli and then cut it into pieces. Blend the onion- garlic- chilli- parsley and chopped coriander in a food processor until smooth. Place in a bowl. 3: Blend the chickpeas until they are gritty- add a little water if necessary. Do not blend until smooth. Add to the bowl of mixed herbs and add cumin- coriander- salt and bicarbonate. Add a little water if necessary- the mixture should be a little crumbly and sticky. 4: Heat the oil to about 180°C in a saucepan. 5: Press and shape into about 16 balls by hand (for 4 ports)- alternatively using a small glass scoop or two spoons. Carefully place in the oil. Fry in batches until golden- about 5 minutes. Lift up with a slotted spoon. Drain on some kitchen paper and serve immediately",Vegan,An egyptian dish made of chickpeas. This dish is mostly popular in the middle-east but you can also find it in the carriages around Linnéuniversitet campus.
Salmon in the oven,"1: Set the oven to 175°C. 2: Place the salmon in a greased baking dish. Drizzle with oil and sprinkle with salt- pepper and lemon peel. 3: Place in the oven for about 25 minutes or until the salmon has an internal temperature of 56°C.",Fish,If you want an easy-fancy main dish - this is it! It can be a midweek dinner or a meal with friends. Salmon fits most occasions.
Muffins,"1: Turn the oven to 200 degrees. 2: Melt the butter - put to the side and let cool. 3: Fisk the eggs and sugar fluffy in a bowl. 4: Mix flour - baking powder and vanilla sugar in a bowl. Mix the eggs and the sugar mix. 5: Add alternately the melted butter - milk - and the other ingredients. Carefully mix the batter. 6: Distribute the batter in muffin tins. Fill them approximately 2/3. Bake in the oven for approximately 15 minutes.",Dessert,A muffin is a small domed spongy bread/cake. Usually eaten as a dessert with different types of topping for example blueberries - chocolate or glace.
Omellette,"1: Heat oil and butter in a pan on medium heat until the butter is melted. 2: Pour eggs into pan.",Appetizer,Omelette is made from beaten eggs. It is quite common for the omelette to be folded around fillings such as cheese- vegetables and mushroooms.
Meatballs and mashed potatoes,"1: Blend lingon berries and sugar and let sit in rooms temperature until the sugar has dissolved. Mix now and then. 2: Mix breadcrumbs - milk and let sit for 5 minutes. Then mix it with the ground beef - egg - onion - salt  and pepper. 3: Then roll the ground beef into balls and fry in butter/oil. 4: Cook potatoes in salted water. 5: Mash the potatoes and mix with butter - sour cream and add some milk. 6: Add salt and pepper. ",Meat,When you're running low on time to get dinner on the table this is a great solution. The meatballs and potatoes cook at the same time so it's ready in 30min.
Mac and cheese,"1: Turn the oven to 225 celsius. 2: Boil macaroni according to instructions on package. 3: Fry bacon in a dry frying pan. 4: Mix macaroni - cheese sauce - milk - bacon and grated cheese in an oven form. (Cook for 10 minutes).",Pasta,Mac and cheese is the most iconic American dish. The American way includes curved macaroni pasta and cheddar cheese. More modern varieties include vegetables - lobster - crab. 
Applepie,"1: Put the oven to 225 degrees Celcius 2: Cut the butter into pieces - stir butter. flour and oat to a mass. Mix sugar and salt. 3: Peel the core out and cut the apples into smaller pieces. Mix the apples with cinnamon- sugar - and salt into a pie form. 4: Put the crumbs over the apples and bake them in the oven for 20-25 minutes.",Dessert,It's taken a while to figure out this recipe. This simple recipe guarantees perfectly cooked apples. No need for pre-cooking!
Carrotcake,"1: Put the oven to 175 degrees Celcius. 2: Stir egg and sugar fluffy in a bowl. Add the sliced carrots and the rapeseed oil. 3:mix flour- baking powder- bicarbonate- cinnamon and salt in a bowl. Pour the eggs into the bowl. 3: Add the mix into a form. Bake the cake in the lower part of the oven for 35-45 minutes. take it out and let it sit. 4: Topping: Stir all ingredients for a few minutes until it's an even fluffy mix. Put the topping over the cake.",Dessert,This carrot cake is quick- easy- and utterly delicious. Anyone can enjoy this amazing carrot cake.
Rhubarbpie,"1: Put the oven to 225 Celcius. 2: Cut the rhubarb in Pisces. Mix it with potato flour- cinnamon and sugar in a form. 3: Mix oat- flour and sugar in a bowl. Add the butter cut into pieces and mix it into a crumbled dough. 4: Distribute the dough over the rhubarb. 5: Bake in the middle of the oven for about 20min.",Dessert,Rhubarb pie is soft and moist. The pie is flavorful with diced rhubarb. This recipe is simple to make and deserves everyone's love. If you like rhubarb try this recipe. 
Blueberrypie,"1: Make the dough in a food processor by combining half of the flour - sugar - and salt together and pulsing until combined. Add in the butter and shortening pieces and process for about 15 to 20 seconds until combined. Add in the remaining half of the flour and pulse until all the flour is incorporated. Sprinkle in cold water and vodka and pulse 5 or 6 times until combined into a dough. Divide into two even pieces and wrap in plastic wrap. Refrigerate for 1 hour. 2: In a large mixing bowl - toss together blueberries and 1 cup of sugar. Let's sit for 1 hour. Drain any excess liquid from the blueberries. Toss with cornstarch - lemon juice - cinnamon - nutmeg - and salt. 3: Preheat the oven to 425 degrees. 4: Roll out your bottom crust into a 12-inch circle. Make sure you use a well-floured surface and rolling pin to prevent sticking. Roll the circular dough loosely around the rolling pin to transfer to a 9-inch pie dish (deep dish). Be gentle and press it carefully into the plate letting the edges hangover. Refrigerate until ready to use. 5: Prepare your lattice crust by rolling the remaining dough half into a 13 by 10-inch rectangle. Transfer to a baking sheet lined with parchment paper. Cut into 8 even strips. Chill if needed. 6: Place the prepared pie plate on a baking sheet (in case of spillage). Scoop the blueberry filling into the pie shell. Lay 4 of the lattice strips on top of the blueberries - giving even spacing between. Weave the remaining lattice pieces perpendicular - lifting every other piece to create a lattice. Trim the excess dough that is hanging around the pie plate with kitchen scissors or a sharp knife. Pinch the lattice and crust edges together and then crimp the dough evenly around the pie using your fingers. 7: Brush the crust with the beaten egg and sprinkle with 1 tablespoon of sugar. Bake in the preheated oven for 25 minutes. Reduce the temperature to 375 degrees and cook 30 to 35 minutes more until the crust is golden brown and juices are bubbling and set. Transfer the pie dish to a wire rack to cool.",Dessert,Making a blueberry pie from scratch is much easier than you might think. We're showing you how to make a blueberry pie with fresh blueberries. This recipe will walk you through how to make a homemade pie.
Taco pie,"1: Put the oven to 225 celcius. 2: Cut the butter in to smaller pisces with the flouer to a mix and add water so you can make a dough. 3: Put the dough in a form and let it sit in the fridge for 30 min. 4: pre-bake the dough in the oven for 15min. 5: Cook the grounded beef and add the taco mix and some water with it. stir and let it sit on low heat until the water has boiled in. Stir crème fraich and let it sit for a few minutes. 6: Add the meat to the pie shell and put the cheese on top. 7. Bake for 20min.",Meat,It's a quick easy meal that is very filling. Some people will also top it with regular toppings for example lettuce and tomatoes etc. Great for leftovers and this meal is very filling.
Cowboy soup,"1: Core out the paprika and dice it. Peel the potatoes and dice into smaller parts. 2: Fry the paprika and the ground beef in the pot with oil. Lower the temperature and squeeze the garlic. Add paprika powder - oregano - salt and pepper. 3: Add the potatoes - white beans - cream and meat broth. Cook and simmer for 5 minutes. 4: Serve the soup. ",Soup,Cowboy is an affordable bowl of comfort food full of healthy veggies - creamy beans - warm broth and lean ground beef. Perfect for a casual weeknight dinners or game day events.
Fried rice,"1: Cook the rice according to the instructions on the packet. 2: Peel the carrot. Cut and core the pepper. Cut the carrot- pepper- sweet peas and spring onion into strips. 3: Fry the vegetables in oil in a large frying pan for about 3 minutes. Season with salt and pepper. Add the soy sauce. 4: Add the cooked rice and sweet chilli sauce. Stir. 5: Crack the eggs over the vegetable rice. Stir until the rice has a creamy consistency.",Rice,Fried rice is a dish of cooked rice that has been stir-fried in a  wok or a frying pan and is usually mixed with other ingredients such as eggs- vegetables and seafood. It is often eaten by itself or as an accompaniment to another dish. Fried rice is a staple national dish for Indonesia. 
Mac and tuna,"1: Cook the pasta according to the instructions on the packet. 2: Peel and chop the onion. 3: Drain the tuna. Mix the corn- tuna- creme fraiche and red onion. Season with chilli flakes- salt and pepper. 4: Cut the tomatoes into pieces. 5: Serve the pasta with the tuna mixture- arugal and tomatoes.",Fish,A dish that does not get too much credit is Mac and tuna. A very quick and easy recipe. Very appreciated for the ones who like fish. Perfect light summer dish for the warmer weather and less energy to cook food. 
Hamburger,"1: Blend the ground meat with salt and pepper. Form the meat into 2 thin hamburgers. 2: Fry the burgers in butter in a pan for 1 min each side. 3: Mix cottege cheese - mustard and boston cucumber. 4: Dish the hamburger on a plate and bring out all the acessories to come with it and dig in.",Meat,A hamburger is an extremely popular sandwich consisting of one or more meat patties placed on a bun. The meat is usually accompanied by various ingredients such as tomato slices- onions- pickles- and lettuce. 
Cacio e pepe,"1: cook the pasta according to the package. 2: fry the pepper with the butter in a pan. 3: poor carefully the pasta water into the pan with butter and pepper. 4: Put the pasta in the pan with the rest of the ingredients and let it boil for a few minutes. 5: Add the parmesan to the mix.",Pasta,Italian dish from the City of Rome. The dish means cheese and pepper. As the name suggests it's made out of black pepper and cheese and spaghetti. Easy and simple but still tasty. 
Chili con carne ,"1: Cook the rice accordingly to the package. 2: Fry the ground meat with oil in a pan. Mix the tomato puré and ad salt - pepper and chili powder. 3: Mix the white beans with the frozen corn and water. Let simmer for 5 - 10 minutes and add salt and pepper. 4: Dish the chili with the rice. ",Meat,Whip it up as a quick meal. If you want to slow cook it you'll be rewarded with ultra-tender beef and an extra good sauce. Served over rice. 